   x1	x2	x3	x4	x5	x6	x7	x8	y1	y2	y3	y4	y5	y6	y7	y8	z1	z2	z3
20 180	66	36	26.5	21	46.39	31.74	3.05	48.5	51	90.57	17.2	7.37	51	167	0.11	114	44	37
21 183	70	35	29	18.5	45.08	35.15	5.18	48	55	94.58	22.7	6.98	58	255	0.11	127	52	38
22 169	63	31	23.7	18.3	43.2	32.47	3.58	48	53	99.13	19.2	7.17	53.7	205	0.11	122	46	32
23 184	71	35.6	27.1	20.1	45	32.73	5.07	48	45	84.84	11.4	7.87	43	94	0.12	90	44	40
24 182	65	31.8	27	18.8	42.64	34.79	3.61	47.5	56	84.84	25.2	6.97	59	255	0.11	118	46	33
25 165	70	31	25.6	18.9	45.76	33.91	8.12	47	55	96.03	22	7.01	58	255	0.11	127	60	44
26 176	68	32.8	26.1	19.1	44.32	33.46	7	47	53	102.51	18.9	7.17	53.5	201	0.11	115	52	38
27 181	76.8	31.7	27	16.5	41.55	35.9	8.1	47	51	82.83	17.1	7.39	50.1	154	0.11	133	48	42
28 176	78	32.6	24.2	19.2	43.18	31.84	7.69	46	42	99.13	5.1	7.91	43	75	0.13	87	32	28
29 170	62	30	26.1	19.5	44.47	34.52	4.52	45	53	84.84	18.9	7.19	53	199	0.11	115	40	36
30 179	70	33.8	26.8	19.3	44.64	33.54	4.86	45	53	93.19	18.7	7.21	53	197	0.11	95	36	24
31 179	75	32.7	27.3	21.5	45.53	33.5	6.84	45	51	74.53	17	7.43	50	150	0.11	88	40	42
32 180	73	32.5	28.1	21	45.33	34.44	6.84	44	53	93.19	18.6	7.21	53	195	0.11	99	40	32
33 172	68	31.7	23.8	19.6	43.66	31.69	5.63	44	53	78.35	18.3	7.23	53	195	0.11	86	44	26
34 182	73	32.1	24.4	18.5	41.21	32.53	6.15	43.5	54	88.15	20.9	7.13	57	253	0.11	101	40	36
35 173	66	31	24.7	19.4	43.41	32.89	5.12	43.5	50	106.22	15.2	7.78	47	103	0.12	98	48	28
36 191	87	36.7	28.1	22.2	45.55	32.3	6.88	43	51	87.01	16.9	7.45	50	133	0.11	109	44	34
37 180	68	32	23.1	19.5	41.44	30.97	5.89	43	50	83.82	14.8	7.78	47	103	0.12	81	44	28
38 171	71	32.1	25.4	18.3	44.33	33.51	6.76	42.5	57	78.35	27.1	6.89	63	315	0.11	109	48	40
39 178	64	33.2	27.2	21.1	45.79	33.37	4.46	42.5	55	90.57	21.8	7.05	58	255	0.11	96	44	28
40 185	72	34.1	27.2	20.6	44.27	33.21	3.5	42.5	51	83.82	16.7	7.47	50	128	0.11	96	36	32
41 182	74	34.5	27.5	20.6	45.38	33.29	5.46	42.5	50	88.15	13.1	7.79	47	100	0.12	74	40	30
42 183	87	34	28.2	20.1	44.97	34.26	7.9	42	52	83.82	18.2	7.31	51.3	195	0.11	101	44	38
43 173	62	31.6	24.4	18.5	43.06	32.75	6.5	42	51	97.55	16.2	7.65	49.7	116	0.12	110	40	28
44 174	67	30.5	25.4	19.2	43.16	33.82	6.64	42	51	93.19	15.7	7.75	49	107	0.12	88	40	32
45 177	70	34.5	26.8	20.7	46.33	32.68	8.01	41.5	56	81.87	24.7	6.97	58.7	255	0.11	95	44	40
46 177	74	32.3	26.6	18.8	43.9	34.23	7.02	41.5	53	93.19	18.2	7.23	52	195	0.11	101	40	36
47 182	75	33.8	26.8	20.3	44.45	33.13	5.4	40.5	45	90.57	7.9	7.89	43	75	0.13	101	36	34
48 188	70	35.3	27.4	20.4	44.2	32.97	4.42	40	52	87.01	17.7	7.34	51	195	0.11	101	36	34
49 183	70	33.8	26.6	21.3	44.64	32.56	4.14	38.5	50	84.84	13.1	7.87	46	97	0.12	112	40	40
50 178	63	31.2	26.8	19.6	43.6	34.54	5.28	36	48	83.82	11.6	7.87	43	96	0.12	93	40	30
